FD0606005;Наборы конфет;47;FAZER Конф.GEISHA мол.шок.нач.тер.ор150г;309;18
FD0220005;Соусы фрукт, ягодные;54;КИНТО Ткемали КЛАССИЧЕСКИЙ 300г;139;11
FD0220005;Соусы фрукт, ягодные;64;КИНТО Ткемали РАННИЙ       300г;139;7
FR0908001;Виноград;133;Виноград красный Ред Глоб 1кг;249;16.222
FD0602002;Халва, Козинак и пр.;141;РОТ ФРОНТ Халва 1кг;579;6.193
FD0606006;Орехи,семечки глазированные;217;GOOD-FOOD Фундук в шок.гл. 150г;229;8
FD0606006;Орехи,семечки глазированные;225;GOOD-FOOD Кешью в шок.глаз.150г;249;2
FD0606006;Орехи,семечки глазированные;236;GOOD-FOOD Миндаль в белой глазури  150г;219;10
FD0606008;Сухофрукты глазированные;237;GOOD-FOOD Клубника в белой глазури  150г;195;10
FD0220004;Соусы соевые;403;KIKKOMAN Соус соевый с/б  150мл;209;6
FD0220004;Соусы соевые;405;KIKKOMAN Соус соевый дисп.150мл;289;7
FD0220004;Соусы соевые;406;KIKKOMAN Соус соевый      250мл;309;10
FD0205011;Фасоль консервированная;449;HEINZ Фасоль в томатном соусе 415г;89.9;25
FD0209002;Кофе в зёрнах;506;PAULIG Кофе PRESIDENT зер.250г;399;8
FD0226006;Чай чёрный;510;LIPTON Чай YELOW LAB.пак. 25х2г;83.9;9
FD0217003;Сахар-рафинад;625;ТЕНДЕР Сахар прессов/Сахар бел.куск.1кг;44.9;36
FR0906002;Картофель;769;Картофель                   1кг;18.9;99.386
FD0601001;Вафли;1191;КОЛОМЕНСКОЕ Вафли СЛИВОЧНЫЕ в пленк.220г;73.9;16
FD0804001;Пиво импортное;1459;Пиво BUDWEISER BUDVAR св.5% ст/б 0.5л;135;16
FR0908005;Цитрусовые;1530;Грейпфрут красный 1кг;83.9;47.96
FR0908006;Экзотические фрукты;1532;Киви 1кг;155;5.445
FR0908005;Цитрусовые;1535;Апельсины 1кг;99.9;6.416
FR0908005;Цитрусовые;1536;Лимоны 1кг;399.9;8.71
FR0908005;Цитрусовые;1537;Мандарины 1кг;114.9;1.667
FR0906004;Лук;1561;Лук ПОРЕЙ 1кг;419;11.086
