3;The Hunger Games;9780439023480;2008;31;Suzanne Collins;
4;Harry Potter and the Philosophers Stone;9780439554930;1997;33; Mary GrandPré;
4;Harry Potter and the Philosophers Stone;9780439554930;1997;32;Joanne Rowling;
5;Twilight;9780316015840;2005;34;Stephenie Meyer;
6;To Kill a Mockingbird;9780061120080;1960;35;Harper Lee;
7;The Great Gatsby;9780743273560;1925;36;Scott Fitzgerald;
8;The Fault in Our Stars;9780525478810;2012;37;John Green;
9;The Hobbit or There and Back Again;9780618260300;1937;38;John Tolkien;
10;The Catcher in the Rye;9780316769170;1951;39;Jerome Salinger;
11;Angels & Demons ;9781416524790;2000;40;Dan Brown;
12;Pride and Prejudice;9780679783270;1813;41;Jane Austen;
13;The Kite Runner ;9781594480000;2003;42;Khaled Hosseini;
14;Divergent;9780062024040;2011;43;Veronica Roth;
15;Nineteen Eighty-Four;9780451524940;1949;46;Celâl Üster;
15;Nineteen Eighty-Four;9780451524940;1949;45;Erich Fromm;
15;Nineteen Eighty-Four;9780451524940;1949;44;George Orwell;
16;Animal Farm: A Fairy Story;9780452284240;1945;44;George Orwell;
17;Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944;9780553296980;1947;48;Anne Frank;
17;Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944;9780553296980;1947;50;Barbara Mooyaart-Doubleday;
17;Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944;9780553296980;1947;49;Eleanor Roosevelt;
18;Män som hatar kvinnor;9780307269750;2005;55;Reg Keeland;
19;Catching Fire;9780439023500;2009;31;Suzanne Collins;
20;Harry Potter and the Prisoner of Azkaban;9780439655480;1999;32;Joanne Rowling;
20;Harry Potter and the Prisoner of Azkaban;9780439655480;1999;55;Reg Keeland;
20;Harry Potter and the Prisoner of Azkaban;9780439655480;1999;56;Rufus Beck;
21; The Fellowship of the Ring;9780618346260;1954;38;John Tolkien;
22;Mockingjay;9780439023510;2010;31;Suzanne Collins;
